algorithm,scale,alpha,lambda,stable,diverged_seed_tail_mean,rmse_mean,rmse_ci95,prediction_change_mean,prediction_change_ci95
fixed,one,0.001,0.0,True,0.0,0.5743885900071146,2.775050995443997e-05,2.1952662346689341e-07,1.8283629106600793e-07
fixed,one,0.003,0.0,True,0.0,0.5740300862920003,8.323003355111503e-05,6.665512980660025e-07,5.458069605095105e-07
fixed,one,0.01,0.0,True,0.0,0.5727752606528153,0.0002772181090420619,2.3160948591765257e-06,1.7889792398259023e-06
fixed,one,0.03,0.0,True,0.0,0.5691883045304182,0.0008304781707178688,7.782275986488835e-06,5.139697288517643e-06
fixed,one,0.1,0.0,True,0.0,0.5566035518969171,0.0027619541140280653,3.6124305650664814e-05,1.591513503808054e-05
fixed,one,0.3,0.0,True,0.0,0.5209952759878418,0.008048378584716421,0.00019113598429175982,5.624884293102177e-05
fixed,ten,0.001,0.0,True,0.0,0.5566035518969171,0.0027619541140280653,3.612430565066487e-05,1.5915135038080513e-05
fixed,ten,0.003,0.0,True,0.0,0.5209952759878418,0.008048378584716402,0.00019113598429176015,5.6248842931021865e-05
fixed,ten,0.01,0.0,True,0.0,0.4157278056574264,0.020962238129803558,0.0012416851333434792,0.0002636750025890787
fixed,ten,0.03,0.0,True,0.0,0.25732770054377074,0.031152352737707886,0.004623375083034576,0.0005910337219276997
fixed,ten,0.1,0.0,True,0.0,0.17251208492485012,0.023252857552882825,0.010703134634918903,0.0008804599471772887
fixed,ten,0.3,0.0,False,0.029779148879762886,1158894.970288217,1078660.181379164,52641676.78467959,28521389.971678954
fixed,hundred,0.001,0.0,True,0.0,0.17251208492485012,0.0232528575528828,0.010703134634918902,0.0008804599471772879
fixed,hundred,0.003,0.0,False,0.028708211711164288,12698097.437525976,16141125.968276108,437132604.91918117,188441499.60475886
fixed,hundred,0.01,0.0,False,0.06609314954051795,1889651.9660124406,3564613.6027484126,1144738471.8675168,637768216.8206161
fixed,hundred,0.03,0.0,False,0.06769195032352926,1926723.8437188088,3634291.7895607413,4322708143.270624,3530700314.379664
fixed,hundred,0.1,0.0,False,0.08206962920120814,82081.85911128999,38101.75605727967,21571858832.480305,19552498171.660347
fixed,hundred,0.3,0.0,False,0.08206962920120814,82105.07429923101,38095.50307086705,4955780095.186503,1843266999.6642833
fixed,uneven,0.001,0.0,True,0.0,0.49767963980614177,0.00943819807799151,0.00024471333746408806,6.959718202465436e-05
fixed,uneven,0.003,0.0,True,0.0,0.4047790172369261,0.01777348838853891,0.0009916443719878982,0.00019541786480585765
fixed,uneven,0.01,0.0,True,0.0,0.25606975179208435,0.026004319382876055,0.003439074049479526,0.00047333349744284927
fixed,uneven,0.03,0.0,True,0.0,0.780092824785865,0.9192503285580574,0.02744527318833042,0.026173401824894558
fixed,uneven,0.1,0.0,False,0.05332536035202434,140502.4763303036,107081.79073983728,71189445.17848705,50537743.08179534
fixed,uneven,0.3,0.0,False,0.06160895187439809,94737.9358856518,52062.254844031806,159510829.48518178,163746415.22509557
fixed,lognormal,0.001,0.0,True,0.0,0.5736219194705572,0.0005599975152077459,1.8076213027070642e-06,1.7146987133188704e-06
fixed,lognormal,0.003,0.0,True,0.0,0.5718516669211529,0.0015578605609508842,5.300616760883042e-06,4.824763355869372e-06
fixed,lognormal,0.01,0.0,True,0.0,0.5666244381310722,0.0041454289413887044,1.6813560435075124e-05,1.3434563626549799e-05
fixed,lognormal,0.03,0.0,True,0.0,0.5560903919181477,0.00779049580121386,5.1191212197424296e-05,3.230659780711408e-05
fixed,lognormal,0.1,0.0,True,0.0,0.5328617157681735,0.010363404144845245,0.0002451204924489009,0.0001376767798105229
fixed,lognormal,0.3,0.0,False,0.0008,893275.5071319016,1750819.0318934382,593381.9909117471,1163028.7004057502
normalized,one,0.001,0.0,True,0.0,0.5731337991264642,0.00022181951565874978,1.8311797152738751e-06,1.4379760946547102e-06
normalized,one,0.003,0.0,True,0.0,0.5702647633267713,0.0006646003543350632,6.022930830150047e-06,4.16189879991879e-06
