algorithm,scale,tested_cells,stable_cells,max_stable_alpha,best_stable_alpha,best_stable_rmse,best_stable_rmse_ci95,mean_stable_prediction_change,any_divergence
fixed,one,6,6,0.3,0.3,0.5209952759878418,0.008048378584716421,3.970745645160382e-05,False
fixed,ten,6,5,0.1,0.1,0.17251208492485012,0.023252857552882825,0.0033590910282478765,True
fixed,hundred,6,1,0.001,0.001,0.17251208492485012,0.0232528575528828,0.010703134634918902,True
fixed,uneven,6,4,0.03,0.01,0.25606975179208435,0.026004319382876055,0.008030176236815484,True
fixed,lognormal,6,5,0.1,0.1,0.5328617157681735,0.010363404144845245,6.40467006289981e-05,True
normalized,one,6,6,0.3,0.3,0.4157278056574264,0.020962238129803558,0.0003843054292088723,False
normalized,ten,6,6,0.3,0.3,0.28994021537559167,0.030061593905994288,0.0007943650272542077,False
normalized,hundred,6,6,0.3,0.3,0.28994021525700764,0.03006159391097902,0.0007943650279775754,False
normalized,uneven,6,6,0.3,0.3,0.2534374013788738,0.03176026433361989,0.0007196921555063872,False
normalized,lognormal,6,6,0.3,0.3,0.3998683774087294,0.02480228093925596,0.0006168626664297367,False
trace_normalized,one,6,6,0.3,0.3,0.430140793075292,0.01898854280045575,0.00015006696073637836,False
trace_normalized,ten,6,6,0.3,0.3,0.4022363039504732,0.018411341175014893,0.00016645389693680708,False
trace_normalized,hundred,6,6,0.3,0.3,0.4022363039268561,0.018411341175246697,0.00016645389696925454,False
trace_normalized,uneven,6,6,0.3,0.3,0.3895881502324571,0.017767665874383467,0.00018836572827942138,False
trace_normalized,lognormal,6,6,0.3,0.3,0.3885282662572758,0.026638173193681138,0.0002790285421479432,False
true_online,one,6,6,0.3,0.3,0.4635263809803938,0.02144405831089028,0.0001315150520345144,False
true_online,ten,6,5,0.1,0.03,0.13363617005223316,0.020782901068896128,0.0033233343869884164,True
true_online,hundred,6,1,0.001,0.001,0.1707688901607932,0.017601135354615452,0.006860196665935255,True
true_online,uneven,6,4,0.03,0.01,0.13579835221225753,0.02738548466088603,0.003386858311243301,True
true_online,lognormal,6,5,0.1,0.1,0.49214119814760104,0.023095502481735697,0.00023771225463029128,True
true_online_normalized,one,6,6,0.3,0.3,0.24295348831581184,0.044050645153966506,0.001093960419696658,False
true_online_normalized,ten,6,6,0.3,0.3,0.13542164742782908,0.026815353674047835,0.0014346131349981701,False
true_online_normalized,hundred,6,6,0.3,0.3,0.13542164740833154,0.026815353647779473,0.0014346131356894512,False
true_online_normalized,uneven,6,6,0.3,0.3,0.15185846620695856,0.0345789434864604,0.0013001618595399624,False
true_online_normalized,lognormal,6,0,nan,nan,nan,nan,nan,True
