algorithm,scale,alpha,lambda,stable,diverged_seed_tail_mean,rmse_mean,rmse_ci95,prediction_change_mean,prediction_change_ci95
fixed,one,0.01,0.0,True,0.0,0.5728540911618308,0.000245219358049794,1.6931902413730598e-06,1.113062479552172e-06
fixed,one,0.03,0.0,True,0.0,0.5694296946698936,0.0007337151412356788,5.904577978352745e-06,3.2762868611422994e-06
fixed,one,0.1,0.0,True,0.0,0.5574632558433185,0.0024277138066884757,2.9653329755154933e-05,1.1364450770832453e-05
fixed,one,0.3,0.0,True,0.0,0.523856298363264,0.007006118515318844,0.00017222938989414435,4.953941450668155e-05
fixed,ten,0.01,0.0,True,0.0,0.42411420519298526,0.01818351086271199,0.001178750543371759,0.0002515114476949718
fixed,ten,0.03,0.0,True,0.0,0.26887462252643796,0.026937451702211193,0.0043399206098718515,0.0005380017093592374
fixed,ten,0.1,0.0,True,0.0,0.1835732809919807,0.01945494008525366,0.009970034242492118,0.000927183108351596
fixed,ten,0.3,0.0,False,0.029197230471351483,2440288.7633790174,1899778.998524434,40447496.25439705,16304125.574037
fixed,hundred,0.01,0.0,False,0.060573521179390556,972370.6333198717,1783208.0766085514,1090622408.1335902,452507856.5933129
fixed,hundred,0.03,0.0,False,0.061343839186954484,998541.079502105,1817355.628770614,3575545261.3731513,2059079311.8941169
fixed,hundred,0.1,0.0,False,0.06791471515435646,3915911.6392959533,7536295.841702247,15865001097.424173,12092050854.571041
fixed,hundred,0.3,0.0,False,0.06803018013585689,68070.37950322338,25200.337430029987,5665697749.59939,2789226125.533069
fixed,uneven,0.01,0.0,True,0.0,0.26419936451904413,0.022967772504790106,0.0032169551879578776,0.0004360585342560075
fixed,uneven,0.03,0.0,True,0.0,1.5607842231327616,1.1871426627141028,0.10332255912472461,0.09953668666368279
fixed,uneven,0.1,0.0,False,0.04931220954004813,13194209.277969636,23837234.649152596,64241971.03019124,31254742.04772081
fixed,uneven,0.3,0.0,False,0.058296114897646856,74863.45265954002,31670.90375515423,152797645.69089943,88573846.8584235
fixed,lognormal,0.01,0.0,True,0.0,0.5663258891612423,0.0029482858318388297,1.6897093486477068e-05,8.79889615702168e-06
fixed,lognormal,0.03,0.0,True,0.0,0.5552643375472344,0.005728429556755444,6.322915149864261e-05,3.100366255488713e-05
fixed,lognormal,0.1,0.0,True,0.0,0.5310822032148133,0.009108721369080629,0.0003376318693296039,0.00016191924655334776
fixed,lognormal,0.3,0.0,False,0.0004,446637.9993098515,875409.5159143242,296690.99639901955,581514.3501524577
normalized,one,0.01,0.0,True,0.0,0.560878756804076,0.0019464463789536745,2.141912941041088e-05,8.864298099258123e-06
normalized,one,0.03,0.0,True,0.0,0.5337871118877524,0.005688344903910444,0.00011868175171041607,3.5675661802045985e-05
normalized,one,0.1,0.0,True,0.0,0.4494233035098567,0.015727454171331822,0.0008483377180819653,0.00019560815122309107
normalized,one,0.3,0.0,True,0.0,0.42411420519298526,0.01818351086271199,0.0011787505433717587,0.00025151144769497164
normalized,ten,0.01,0.0,True,0.0,0.5608787557214616,0.0019464465318190139,2.1419131834994798e-05,8.864298859822435e-06
normalized,ten,0.03,0.0,True,0.0,0.5337871087161848,0.005688345329930627,0.0001186817673143744,3.567566590489142e-05
normalized,ten,0.1,0.0,True,0.0,0.4494232950982166,0.015727455032739937,0.0008483378198489919,0.0001956081698118638
normalized,ten,0.3,0.0,True,0.0,0.301351267089716,0.026087501818386927,0.003484216002869074,0.00048434121296753884
normalized,hundred,0.01,0.0,True,0.0,0.5608787557106354,0.0019464465333476587,2.1419131859240685e-05,8.86429886742809e-06
normalized,hundred,0.03,0.0,True,0.0,0.5337871086844692,0.005688345334190832,0.00011868176747041427,3.567566594591995e-05
normalized,hundred,0.1,0.0,True,0.0,0.44942329501410017,0.01572745504135402,0.0008483378208666624,0.0001956081699977516
normalized,hundred,0.3,0.0,True,0.0,0.30135126697195413,0.02608750182259178,0.0034842160057269303,0.00048434121316032647
normalized,uneven,0.01,0.0,True,0.0,0.5549474872317647,0.0026776076786170495,2.5249008761381183e-05,9.456400630403442e-06
normalized,uneven,0.03,0.0,True,0.0,0.5199807515968187,0.006993317261569202,0.00013410249456881845,3.733318397098059e-05
normalized,uneven,0.1,0.0,True,0.0,0.4245223920310857,0.017044965705265536,0.0007978561117915198,0.00016054228981250628
normalized,uneven,0.3,0.0,True,0.0,0.26445802550522896,0.02770315513403341,0.0030338733393058133,0.000388781600613613
normalized,lognormal,0.01,0.0,True,0.0,0.5625976466544929,0.001463333900840062,2.0583997650836478e-05,6.80182637394882e-06
normalized,lognormal,0.03,0.0,True,0.0,0.5379290115794683,0.004432133914099748,0.00010830227633049438,3.124142266077368e-05
normalized,lognormal,0.1,0.0,True,0.0,0.462688269686682,0.012984628567909311,0.0009080597314149207,0.00024710243935810157
normalized,lognormal,0.3,0.0,True,0.0,0.40160097025959446,0.0220518613438179,0.0028828938330191316,0.0008798345590178788
trace_normalized,one,0.01,0.8,True,0.0,0.5624104354962134,0.001557942302020901,1.261890192219681e-05,7.686256819953295e-06
trace_normalized,one,0.03,0.8,True,0.0,0.5441508171510312,0.003399689624302063,3.936571594623702e-05,1.7636959596872183e-05
trace_normalized,one,0.1,0.8,True,0.0,0.5002455805883793,0.007761397471621464,0.0001605259451370511,4.1146159594888746e-05
trace_normalized,one,0.3,0.8,True,0.0,0.43662899629487956,0.01721625444737164,0.0006104418025326918,0.00013166898529231403
trace_normalized,ten,0.01,0.8,True,0.0,0.5624104346886342,0.001557942386527254,1.2618902772539258e-05,7.68625732397785e-06
trace_normalized,ten,0.03,0.8,True,0.0,0.5441508156540904,0.003399689706669374,3.936571788634952e-05,1.7636960328422278e-05
trace_normalized,ten,0.1,0.8,True,0.0,0.5002455785572506,0.007761397515620975,0.00016052594900854055,4.114615990955227e-05
trace_normalized,ten,0.3,0.8,True,0.0,0.40898184225713263,0.016661353062902246,0.0007112517924002657,0.0001379451185928515
trace_normalized,hundred,0.01,0.8,True,0.0,0.5624104346805583,0.0015579423873723142,1.2618902781042654e-05,7.686257329018094e-06
trace_normalized,hundred,0.03,0.8,True,0.0,0.544150815639121,0.0033996897074930433,3.93657179057507e-05,1.7636960335737773e-05
trace_normalized,hundred,0.1,0.8,True,0.0,0.5002455785369394,0.007761397516060985,0.00016052594904725543,4.1146159912698936e-05
trace_normalized,hundred,0.3,0.8,True,0.0,0.4089818422337526,0.016661353062840143,0.0007112517925134183,0.00013794511860461693
trace_normalized,uneven,0.01,0.8,True,0.0,0.5573619566720079,0.002099815735133707,1.3471494441273071e-05,7.763236664083179e-06
trace_normalized,uneven,0.03,0.8,True,0.0,0.5344856973863992,0.004008196205142314,4.517579747802482e-05,1.906407811408051e-05
trace_normalized,uneven,0.1,0.8,True,0.0,0.48724986797347486,0.007887015001539783,0.00019118250508876473,5.250107206100595e-05
trace_normalized,uneven,0.3,0.8,True,0.0,0.3957810258186637,0.016635222106133933,0.0007758800829535206,0.00015191071892227534
trace_normalized,lognormal,0.01,0.8,True,0.0,0.5639927805635746,0.0012132416433543102,1.4115055186068637e-05,5.522689102474745e-06
trace_normalized,lognormal,0.03,0.8,True,0.0,0.5470214547555161,0.002775324337876352,4.129773210775698e-05,1.4023887382851614e-05
trace_normalized,lognormal,0.1,0.8,True,0.0,0.4985217421420248,0.00812145156653377,0.00021568796828594453,7.731742052639167e-05
trace_normalized,lognormal,0.3,0.8,True,0.0,0.38756413975909526,0.0227862851154807,0.0016004201543633027,0.0005419405598857005
true_online,one,0.01,0.8,True,0.0,0.5727244811467058,0.0002812332850247456,2.071928730539856e-06,1.1395815191593212e-06
true_online,one,0.03,0.8,True,0.0,0.5683327336273788,0.0010323340084660837,9.832571557901202e-06,3.8625078326819745e-06
true_online,one,0.1,0.8,True,0.0,0.5475549873757247,0.004939178192559235,8.318814903015688e-05,2.5400123671853283e-05
true_online,one,0.3,0.8,True,0.0,0.4703508036139669,0.018430504223018937,0.000626101615475531,0.00015313607089594377
true_online,ten,0.01,0.8,True,0.0,0.261345956290241,0.038539129061872145,0.0030327821059118964,0.00038740591971535987
true_online,ten,0.03,0.8,True,0.0,0.1492751133798978,0.021241064264030413,0.0052513047321734695,0.00039530388675038737
true_online,ten,0.1,0.8,True,0.0,0.19257556051744304,0.017221201332959128,0.006294327779819445,0.0006254006846292366
true_online,ten,0.3,0.8,False,0.06907600827045314,69076.61063196394,25655.566523207377,1.2173099061846784e+90,2.3859274161219697e+90
true_online,hundred,0.01,0.8,False,0.1249410311910312,124941.84035990364,11403.598833966265,5.86372910769711e+296,inf
true_online,hundred,0.03,0.8,False,0.1596049783549783,159606.64018795846,8438.659670084216,1.4040840708602347e+272,inf
true_online,hundred,0.1,0.8,False,0.16666666666666663,166668.88484938568,2.346356750647226,4.587159848428202e+36,8.990833302919276e+36
true_online,hundred,0.3,0.8,False,0.16666666666666663,166670.88971885582,5.542335677917554,5.588026170317058e+46,1.095253129382143e+47
true_online,uneven,0.01,0.8,True,0.0,0.15262385714071197,0.023913593040299715,0.004550368432190356,0.00042681582337299363
true_online,uneven,0.03,0.8,True,0.0,0.17073074131947286,0.01801175710299634,0.005206915514291696,0.0005771818458444563
true_online,uneven,0.1,0.8,False,0.06891368501936176,68914.5155859394,25688.71378490937,4.849724609507745e+48,9.505460234601928e+48
true_online,uneven,0.3,0.8,False,0.08586667474825369,85868.15892180693,20997.314579454192,6.17452847308372e+182,inf
true_online,lognormal,0.01,0.8,True,0.0,0.5643456752280185,0.0037742659870177472,3.212688179430069e-05,1.9086254318140416e-05
true_online,lognormal,0.03,0.8,True,0.0,0.5451983219573473,0.00934262596837521,0.0002019681303013888,0.00013169255151133718
true_online,lognormal,0.1,0.8,True,0.0,0.4923557478984756,0.02022847760939068,0.0012678324896989595,0.0006430320236549066
true_online,lognormal,0.3,0.8,False,0.0006944444444444444,694.8524637577274,1361.126303810375,2.9206793682235557e+42,5.724531561718168e+42
