algorithm,scale,tested_cells,stable_cells,max_stable_alpha,best_stable_alpha,best_stable_rmse,best_stable_rmse_ci95,mean_stable_prediction_change,any_divergence
fixed,one,4,4,0.3,0.3,0.523856298363264,0.007006118515318844,5.237012196725627e-05,False
fixed,ten,4,3,0.1,0.1,0.1835732809919807,0.01945494008525366,0.005162901798578576,True
fixed,hundred,4,0,nan,nan,nan,nan,nan,True
fixed,uneven,4,2,0.03,0.01,0.26419936451904413,0.022967772504790106,0.053269757156341246,True
fixed,lognormal,4,3,0.1,0.1,0.5310822032148133,0.009108721369080629,0.00013925270477157452,True
normalized,one,4,4,0.3,0.3,0.42411420519298526,0.01818351086271199,0.0005417972856436378,False
normalized,ten,4,4,0.3,0.3,0.301351267089716,0.026087501818386927,0.0011181636804668588,False
normalized,hundred,4,4,0.3,0.3,0.30135126697195413,0.02608750182259178,0.001118163681480812,False
normalized,uneven,4,4,0.3,0.3,0.26445802550522896,0.02770315513403341,0.0009977702386068832,False
normalized,lognormal,4,4,0.3,0.3,0.40160097025959446,0.0220518613438179,0.000979959959603846,False
trace_normalized,one,4,4,0.3,0.3,0.43662899629487956,0.01721625444737164,0.00020573809138454418,False
trace_normalized,ten,4,4,0.3,0.3,0.40898184225713263,0.016661353062902246,0.00023094059051692378,False
trace_normalized,hundred,4,4,0.3,0.3,0.4089818422337526,0.016661353062840143,0.00023094059056186678,False
trace_normalized,uneven,4,4,0.3,0.3,0.3957810258186637,0.016635222106133933,0.0002564274699903958,False
trace_normalized,lognormal,4,4,0.3,0.3,0.38756413975909526,0.0227862851154807,0.00046788022748576823,False
true_online,one,4,4,0.3,0.3,0.4703508036139669,0.018430504223018937,0.00018029856619853225,False
true_online,ten,4,3,0.1,0.03,0.1492751133798978,0.021241064264030413,0.004859471539301604,True
true_online,hundred,4,0,nan,nan,nan,nan,nan,True
true_online,uneven,4,2,0.03,0.01,0.15262385714071197,0.023913593040299715,0.004878641973241026,True
true_online,lognormal,4,3,0.1,0.1,0.4923557478984756,0.02022847760939068,0.0005006425005982163,True
